N,merge_rand,merge_insertion_15_rand,merge_insertion_30_rand,merge_insertion_50_rand,merge_reversed,merge_insertion_15_reversed,merge_insertion_30_reversed,merge_insertion_50_reversed,merge_almost_sorted,merge_insertion_15_almost_sorted,merge_insertion_30_almost_sorted,merge_insertion_50_almost_sorted
500,15.0335,6.829,6.233,7.242,8.983,4.95,4.9045,7.242,8.983,4.4,3.942,3.392
600,16.4085,9.671,8.3415,10.2205,10.9085,6.0955,6.6,10.358,10.909,5.684,4.859,4.216
700,21.6335,11.733,10.771,19.8915,13.383,7.837,8.25,13.4295,12.925,6.233,5.134,4.675
800,27.3165,12.604,13.0625,16.317,15.171,8.25,10.9085,17.966,14.4375,7.15,6.233,5.5
900,32.3585,19.158,17.004,15.5375,17.1875,9.7625,13.2005,13.017,17.233,8.342,7.15,7.241
1000,38.0875,24.9785,19.2955,19.4795,19.3875,11.229,10.908,16.317,19.2955,10.175,8.8915,8.066
1100,109.267,42.3505,30.9375,25.4375,23.833,12.6955,13.2915,18.975,21.541,11.4585,9.9,8.6165
1200,51.975,35.1545,30.6625,31.0755,23.787,20.625,19.7085,32.3585,23.054,13.292,11.0915,9.8545
1300,64.4415,44.0915,35.704,34.054,26.034,15.492,17.4165,25.85,25.4375,13.75,11.917,10.541
1400,72.6915,49.225,41.846,39.325,26.9045,16.042,19.0665,29.196,27.1795,14.483,12.65,11.366
1500,74.7085,90.8415,90.796,71.7295,30.9835,19.8455,22.2295,33.3665,30.067,15.675,13.658,12.375
1600,70.308,53.9005,48.2165,48.95,32.3585,18.471,24.017,38.7295,31.5335,16.9125,14.4835,13.3835
1700,94.554,90.979,64.3045,56.7875,34.7875,19.7545,25.85,25.575,34.3295,17.4625,15.4,15.308
1800,94.4625,125.859,66,58.3,36.4835,21.541,27.592,27.6835,37.1245,18.6085,16.4545,16.408
1900,102.437,72.921,67.2835,62.792,39.004,23.834,31.5795,30.7545,38.6375,19.7085,17.325,17.325
2000,116.005,96.6625,82.775,76.175,41.617,24.7495,25.0255,35.154,40.5625,37.7665,56.925,18.8835
2100,151.25,97.1205,82.546,76.9085,45.833,26.4,27.133,39.0045,44.275,25.621,22.1835,19.7545
2200,132,98.129,85.6165,80.9415,46.3835,29.379,28.9205,42.5335,45.1915,26.1705,24.1545,20.808
2300,133.833,102.575,92.125,95.242,48.0795,29.608,55.871,44.3665,47.3,27.042,23.65,21.084
2400,139.929,108.029,96.434,104.592,49.408,30.8,31.9455,46.934,49.3165,28.1875,24.658,22.183
2500,145.108,111.054,100.375,102.483,50.8295,30.1125,33.596,48.4,51.104,29.059,25.4835,22.825
2600,147.491,114.4,105.6,101.704,52.892,31.671,35.9335,52.1585,53.4875,30.0205,26.492,23.925
2700,158.125,120.267,104.959,100.329,53.6705,31.4875,35.796,52.342,55.733,29.425,25.942,23.467
2800,148.867,117.562,107.479,105.416,53.0295,32.6335,36.85,56.0085,53.625,30.0665,26.492,24.017
2900,155.88,128.608,118.479,117.563,59.7205,36.8495,41.8455,63.709,59.95,33.7795,29.7915,25.1165
3000,157.3,125.446,116.967,114.996,59.491,34.879,41.7085,63.1585,59.2165,32.542,28.967,26.309
3100,166.651,138.875,130.808,142.221,62.9295,40.4245,46.3375,75.3955,60.638,36.621,32.3585,26.95
3200,168.988,136.858,136.95,128.379,61.2335,37.538,45.4205,71.408,62.0585,34.192,30.3875,27.775
3300,181.179,150.562,139.425,135.85,63.8455,42.5795,51.6995,51.15,70.0335,39.0955,34.7415,35.017
3400,203.179,154.504,146.025,145.062,72.921,44.0005,54.129,53.808,73.516,39.05,35.017,35.017
3500,202.996,165.962,152.212,147.721,74.983,46.246,57.291,56.925,78.375,40.196,36.804,35.934
3600,220.183,154.642,144.421,156.704,70.3545,46.796,59.079,58.85,71.867,41.4335,37.125,37.216
3700,218.029,159.683,150.7,147.63,73.4245,45.833,58.2085,57.75,73.6085,41.2955,35.6125,35.567
3800,210.055,163.396,155.88,152.442,74.388,46.75,60.5,60.225,75.534,40.792,36.6205,36.575
3900,232.512,187.184,177.925,186.588,84.975,53.396,62.8835,68.933,83.875,44.55,43.175,40.2875
4000,240.854,207.716,193.967,197.542,86.533,63.0665,55.1375,74.158,96.0665,50.417,46.0625,41.983
