N,quick_rand,intro_rand,quick_reversed,intro_reversed,quick_almost,intro_almost
500,37.629,27.071,14.044,14.141,12.978,7.749
600,20.3395,14.674,14.335,8.087,15.981,9.25
700,26.8295,19.517,18.3545,9.3465,16.901,10.073
800,28.4755,20.7275,20.4365,10.267,20.3395,11.574
900,44.4085,24.5045,22.4225,11.8165,22.519,13.173
1000,37.8225,29.3475,38.8395,20.3885,38.5485,13.269
1100,38.549,31.9145,27.1205,15.6905,27.7495,14.577
1200,46.879,35.4495,31.769,17.918,33.9965,19.2265
1300,68.429,70.996,32.9795,16.756,33.5605,18.112
1400,72.5455,86.5405,78.938,33.6095,73.0295,36.2725
1500,123.589,78.744,41.745,24.8435,71.577,36.224
1600,116.905,53.4645,41.5025,23.343,41.3095,21.889
1700,73.6105,55.8855,43.973,24.6495,45.184,25.1825
1800,79.664,57.8235,46.5885,25.037,47.7015,27.4585
1900,85.524,64.748,51.0915,27.2645,49.1065,27.749
2000,92.8365,69.8815,56.903,35.159,59.954,33.609
2100,100.295,87.1225,61.552,35.4015,67.1695,32.4955
2200,107.462,76.662,71.7215,37.726,72.4965,34.093
2300,117.874,85.3785,60.729,34.7235,62.327,35.8855
2400,115.356,156.81,65.475,34.577,64.8935,39.7595
2500,130.029,95.9365,67.315,36.2725,69.349,46.4905
2600,124.896,101.408,68.2835,37.5325,71.5765,39.42
2700,128.964,102.329,78.066,40.1475,75.0145,40.0505
2800,134.727,104.75,74.628,40.0985,75.3055,43.8275
2900,143.25,109.351,79.3255,42.956,78.986,43.4395
3000,148.529,119.811,83.684,45.6675,81.117,44.99
3100,150.805,118.94,86.2995,53.9005,107.752,47.556
3200,191.873,139.279,89.0105,49.058,88.9625,49.009
3300,165.818,134.388,89.64,50.075,89.9315,49.9295
3400,169.208,135.744,94.435,47.75,93.2245,50.414
3500,180.007,173.421,96.5175,53.9485,98.3575,52.254
3600,179.911,146.302,100.15,60.874,102.62,53.9005
3700,188.288,150.563,104.75,58.5975,102.91,55.402
3800,195.262,157.246,106.058,58.6465,106.106,61.358
3900,199.959,158.698,109.496,60.826,110.174,60.729
4000,204.754,163.106,109.98,63.8765,114.63,60.729
4100,213.471,198.701,115.065,63.2465,126.01,66.9275
