step,true,mean_estimate,std
5000,4906,4948.18,132.892
10000,9743,9720.19,363.791
15000,14559,14564.2,574.195
20000,19370,19421.2,800.218
25000,24165,23930.9,1018.93
30000,28931,28818.3,1179.29
35000,33716,33280.9,1299.33
40000,38531,38268.1,1495.73
45000,43298,43233.4,1568.94
50000,48057,47876.7,1777.23
55000,52808,53132.5,2206.68
60000,57566,57911.5,2190.12
65000,62304,62755,2161.1
70000,67054,67318.4,2298.01
75000,71813,71932.7,2343.73
80000,76571,76856.5,2474.07
85000,81307,81657.8,2535.84
90000,86053,86349.7,2641.23
95000,90771,91068.2,2749.6
100000,95487,96000,2664.79
105000,100219,100735,2517.03
110000,104938,105376,2632.71
115000,109670,110322,2925.03
120000,114400,115239,2714.14
125000,119082,120306,2996.81
130000,123794,124879,3355.61
135000,128524,130201,3654.21
140000,133235,134668,3922.98
145000,137942,139812,4236.08
150000,142656,144116,4127.14
155000,147368,149456,4051.87
160000,152069,154171,4632.72
165000,156750,158616,4741.62
170000,161465,163737,5045.08
175000,166176,168759,5563.82
180000,170886,173959,5596.14
185000,175576,178471,5662.93
190000,180263,183161,5831.29
195000,184959,188624,6563.26
200000,189640,193610,7000.97
